Event Title ,Billing ,Songkick Artist URI,Artist,Latitude ,Longitude ,Number 1 Streamed Track ,Number of Listeners,Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Freestyle Love Supreme at Booth Theatre (November 15, 2019)",headline,http://www.songkick.com/artists/987708-freestyle-love-supreme?utm_source=59227&utm_medium=partner,Freestyle Love Supreme,40.76026,-73.99329,Hardly Working  Rap Battle,8,Booth Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kem at NYCB Theatre at Westbury (November 15, 2019)",headline,http://www.songkick.com/artists/151653-kem?utm_source=59227&utm_medium=partner,Kem,40.7743,-73.5593,I Can't Stop Loving You,"39,207",NYCB Theatre at Westbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scoville Unit with Earnhardt and BLUEOX at Berlin (November 15, 2019)",headline,http://www.songkick.com/artists/1485111-scoville-unit?utm_source=59227&utm_medium=partner,Scoville Unit,40.72301,-73.98606,Pieces,144,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scoville Unit with Earnhardt and BLUEOX at Berlin (November 15, 2019)",support,http://www.songkick.com/artists/8463713-earnhardt?utm_source=59227&utm_medium=partner,Earnhardt,40.72301,-73.98606,Drywall,6,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scoville Unit with Earnhardt and BLUEOX at Berlin (November 15, 2019)",support,http://www.songkick.com/artists/10059845-blueox?utm_source=59227&utm_medium=partner,BLUEOX,40.72301,-73.98606,Walk Tall,1,Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audrey Assad at All Angels Episcopal Church (November 15, 2019)",headline,http://www.songkick.com/artists/3685706-audrey-assad?utm_source=59227&utm_medium=partner,Audrey Assad,40.78496,-73.97998,Good To Me,"13,326",All Angels Episcopal Church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandolin Orange with Sunny War at Brooklyn Steel (November 15, 2019)",headline,http://www.songkick.com/artists/2589866-mandolin-orange?utm_source=59227&utm_medium=partner,Mandolin Orange,40.71936,-73.93878,Wildfire,"36,233",Brooklyn Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandolin Orange with Sunny War at Brooklyn Steel (November 15, 2019)",support,http://www.songkick.com/artists/2506681-sunny-war?utm_source=59227&utm_medium=partner,Sunny War,40.71936,-73.93878,If It Wasn’t Broken,363,Brooklyn Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Billy Strings at Brooklyn Bowl (November 15, 2019)",headline,http://www.songkick.com/artists/6565553-billy-strings?utm_source=59227&utm_medium=partner,Billy Strings,40.72188,-73.95739,Meet Me at the Creek,"1,979",Brooklyn Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortician with Funerus, Sacrificial Blood, and SICK BAY at Saint Vitus (November 15, 2019)",headline,http://www.songkick.com/artists/100509-mortician?utm_source=59227&utm_medium=partner,Mortician,40.73677,-73.955,Chainsaw Dismemberment,"10,693",Saint Vitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
