Event Title ,Billing ,Songkick Artist URI,Artist,Latitude ,Longitude ,Number 1 Streamed Track ,Number of Listeners,Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York Philharmonic and Bryce Dessner at David Geffen Hall, Lincoln Center (November 15, 2019)",headline,http://www.songkick.com/artists/2750056-bryce-dessner?utm_source=59227&utm_medium=partner,Bryce Dessner,40.7723,-73.98295,Imagining Buffalo,"6,915","David Geffen Hall, Lincoln Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katherine Young with Ryoko Akama at Issue Project Room (November 15, 2019)",headline,http://www.songkick.com/artists/1667337-katherine-young?utm_source=59227&utm_medium=partner,Katherine Young,40.6908,-73.98956,Terra Incognita,112,Issue Project Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katherine Young with Ryoko Akama at Issue Project Room (November 15, 2019)",support,http://www.songkick.com/artists/6017909-ryoko-akama?utm_source=59227&utm_medium=partner,Ryoko Akama,40.6908,-73.98956,Jiwa Jiwa,306,Issue Project Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pokey LaFarge with Jake La Botz at The Bell House (November 15, 2019)",headline,http://www.songkick.com/artists/271625-pokey-lafarge?utm_source=59227&utm_medium=partner,Pokey LaFarge,40.67352,-73.99176,Something In The Water,"12,165",The Bell House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pokey LaFarge with Jake La Botz at The Bell House (November 15, 2019)",support,http://www.songkick.com/artists/515119-jake-la-botz?utm_source=59227&utm_medium=partner,Jake La Botz,40.67352,-73.99176,Hobo on a Passenger Train,619,The Bell House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Caraveo and Khary at Baby's All Right (November 15, 2019)",headline,http://www.songkick.com/artists/8204888-ryan-caraveo?utm_source=59227&utm_medium=partner,Ryan Caraveo,40.70999,-73.96347,Paradise,"6,218",Baby's All Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Caraveo and Khary at Baby's All Right (November 15, 2019)",headline,http://www.songkick.com/artists/8876204-khary?utm_source=59227&utm_medium=partner,Khary,40.70999,-73.96347,Find Me (prod. by Lege Kale),"3,242",Baby's All Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amy Rivard at Tavern On The Green (November 15, 2019)",headline,http://www.songkick.com/artists/8666139-amy-rivard?utm_source=59227&utm_medium=partner,Amy Rivard,40.77352,-73.97884,S'wonderful,3,Tavern On The Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna Tivel and Maya de Vitry at Jalopy Theatre (November 15, 2019)",headline,http://www.songkick.com/artists/5201748-anna-tivel?utm_source=59227&utm_medium=partner,Anna Tivel,40.68131,-74.0042,Illinois,"6,425",Jalopy Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anna Tivel and Maya de Vitry at Jalopy Theatre (November 15, 2019)",headline,http://www.songkick.com/artists/9404214-maya-de-vitry?utm_source=59227&utm_medium=partner,Maya de Vitry,40.68131,-74.0042,Wilderness,"2,428",Jalopy Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B L U E O X at Bowery Electric (November 15, 2019)",headline,http://www.songkick.com/artists/10059846-b-l-u-e-o-x?utm_source=59227&utm_medium=partner,B L U E O X,40.72575,-73.9918,Panic Attack,3,Bowery Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Byrne at Hudson Theatre (November 15, 2019)",headline,http://www.songkick.com/artists/275672-david-byrne?utm_source=59227&utm_medium=partner,David Byrne,40.75694,-73.98487,Like Humans Do (radio edit),"45,319",Hudson Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Close Talker at The Sultan Room (November 15, 2019)",headline,http://www.songkick.com/artists/5344883-close-talker?utm_source=59227&utm_medium=partner,Close Talker,40.70559,-73.92234,Strange Feeling,"2,636",The Sultan Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katastro at Knitting Factory - Brooklyn (November 15, 2019)",headline,http://www.songkick.com/artists/936395-katastro?utm_source=59227&utm_medium=partner,Katastro,40.7143,-73.95587,Flow,"2,959",Knitting Factory - Brooklyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joao at Jazz Standard (November 15, 2019)",headline,http://www.songkick.com/artists/534338-joao?utm_source=59227&utm_medium=partner,Joao,40.74236,-73.98373,Over the Tide,76,Jazz Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
