_ - resultsPage - page,_ - resultsPage - status,_ - resultsPage - perPage,_ - resultsPage - totalEntries,_ - resultsPage - results - event - _ - id,_ - resultsPage - results - event - _ - uri,_ - resultsPage - results - event - _ - type,_ - resultsPage - results - event - _ - status,_ - resultsPage - results - event - _ - popularity,_ - resultsPage - results - event - _ - displayName,_ - resultsPage - results - event - _ - ageRestriction,_ - resultsPage - results - event - _ - flaggedAsEnded,_ - resultsPage - results - event - _ - performance - _ - id,_ - resultsPage - results - event - _ - performance - _ - billing,_ - resultsPage - results - event - _ - performance - _ - displayName,_ - resultsPage - results - event - _ - performance - _ - billingIndex,_ - resultsPage - results - event - _ - performance - _ - artist - id,_ - resultsPage - results - event - _ - performance - _ - artist - uri,_ - resultsPage - results - event - _ - performance - _ - artist - displayName,_ - resultsPage - results - event - _ - performance - _ - artist - identifier - _ - mbid,_ - resultsPage - results - event - _ - performance - _ - artist - identifier - _ - href,_ - resultsPage - results - event - _ - start - date,_ - resultsPage - results - event - _ - start - time,_ - resultsPage - results - event - _ - start - datetime,_ - resultsPage - results - event - _ - venue - id,_ - resultsPage - results - event - _ - venue - uri,_ - resultsPage - results - event - _ - venue - lat,_ - resultsPage - results - event - _ - venue - lng,_ - resultsPage - results - event - _ - venue - displayName,_ - resultsPage - results - event - _ - venue - metroArea - id,_ - resultsPage - results - event - _ - venue - metroArea - uri,_ - resultsPage - results - event - _ - venue - metroArea - displayName,_ - resultsPage - results - event - _ - venue - metroArea - state - displayName,_ - resultsPage - results - event - _ - venue - metroArea - country - displayName,_ - resultsPage - results - event - _ - location - lat,_ - resultsPage - results - event - _ - location - lng,_ - resultsPage - results - event - _ - location - city
,,,,38883438,http://www.songkick.com/concerts/38883438-coronas-at-mercury-lounge?utm_source=59227&utm_medium=partner,Concert,ok,0.005469,"The Coronas with Kris Gruen at Mercury Lounge (November 15, 2019)",,false,73669288,headline,The Coronas,1,11215,http://www.songkick.com/artists/11215-coronas?utm_source=59227&utm_medium=partner,The Coronas,59c3fe2b-468e-47cb-8173-3e3e81f8a75f,http://api.songkick.com/api/3.0/artists/mbid:59c3fe2b-468e-47cb-8173-3e3e81f8a75f.json,2019-11-15,19:30:00,2019-11-15T19:30:00-0500,364,http://www.songkick.com/venues/364-mercury-lounge?utm_source=59227&utm_medium=partner,40.72216,-73.98671,Mercury Lounge,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.72216,-73.98671,"New York (NYC), NY, US"
,,,,,,,,,,,,74255363,support,Kris Gruen,2,1296364,http://www.songkick.com/artists/1296364-kris-gruen?utm_source=59227&utm_medium=partner,Kris Gruen,caa4d943-922c-4c68-bb78-eea77c6bd1d9,http://api.songkick.com/api/3.0/artists/mbid:caa4d943-922c-4c68-bb78-eea77c6bd1d9.json,,,,,,,,,,,,,,,,
,,,,38947414,http://www.songkick.com/concerts/38947414-freestyle-love-supreme-at-booth-theatre?utm_source=59227&utm_medium=partner,Concert,ok,7.1E-5,"Freestyle Love Supreme at Booth Theatre (November 15, 2019)",,false,73781234,headline,Freestyle Love Supreme,1,987708,http://www.songkick.com/artists/987708-freestyle-love-supreme?utm_source=59227&utm_medium=partner,Freestyle Love Supreme,,,2019-11-15,20:00:00,2019-11-15T20:00:00-0500,2666138,http://www.songkick.com/venues/2666138-booth-theatre?utm_source=59227&utm_medium=partner,40.76026,-73.99329,Booth Theatre,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.76026,-73.99329,"New York (NYC), NY, US"
,,,,38948144,http://www.songkick.com/concerts/38948144-kem-at-nycb-theatre-at-westbury?utm_source=59227&utm_medium=partner,Concert,ok,0.026714,"Kem at NYCB Theatre at Westbury (November 15, 2019)",,false,73782004,headline,Kem,1,151653,http://www.songkick.com/artists/151653-kem?utm_source=59227&utm_medium=partner,Kem,3615bc8c-7026-44c0-b3e5-61ece996341c,http://api.songkick.com/api/3.0/artists/mbid:3615bc8c-7026-44c0-b3e5-61ece996341c.json,2019-11-15,20:00:00,2019-11-15T20:00:00-0500,1092586,http://www.songkick.com/venues/1092586-nycb-theatre-at-westbury?utm_source=59227&utm_medium=partner,40.7743,-73.5593,NYCB Theatre at Westbury,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.7743,-73.5593,"Westbury, NY, US"
,,,,,,,,,,,,,,,,,,,0609c172-8605-490c-9494-e1019803e817,http://api.songkick.com/api/3.0/artists/mbid:0609c172-8605-490c-9494-e1019803e817.json,,,,,,,,,,,,,,,,
,,,,38949325,http://www.songkick.com/concerts/38949325-scoville-unit-at-berlin?utm_source=59227&utm_medium=partner,Concert,ok,4.0E-6,"Scoville Unit with Earnhardt and BLUEOX at Berlin (November 15, 2019)",,false,73784023,headline,Scoville Unit,1,1485111,http://www.songkick.com/artists/1485111-scoville-unit?utm_source=59227&utm_medium=partner,Scoville Unit,f294423d-9b50-4bc3-bd40-962b7e64df07,http://api.songkick.com/api/3.0/artists/mbid:f294423d-9b50-4bc3-bd40-962b7e64df07.json,2019-11-15,20:00:00,2019-11-15T20:00:00-0500,3045529,http://www.songkick.com/venues/3045529-berlin?utm_source=59227&utm_medium=partner,40.72301,-73.98606,Berlin,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.72301,-73.98606,"New York (NYC), NY, US"
,,,,,,,,,,,,74225786,support,Earnhardt,2,8463713,http://www.songkick.com/artists/8463713-earnhardt?utm_source=59227&utm_medium=partner,Earnhardt,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74225787,support,BLUEOX,3,10059845,http://www.songkick.com/artists/10059845-blueox?utm_source=59227&utm_medium=partner,BLUEOX,,,,,,,,,,,,,,,,,,
,,,,38949623,http://www.songkick.com/concerts/38949623-audrey-assad-at-all-angels-episcopal-church?utm_source=59227&utm_medium=partner,Concert,ok,0.00727,"Audrey Assad at All Angels Episcopal Church (November 15, 2019)",,false,73784566,headline,Audrey Assad,1,3685706,http://www.songkick.com/artists/3685706-audrey-assad?utm_source=59227&utm_medium=partner,Audrey Assad,280e4d8f-4ed1-43ae-8927-cd040ad58655,http://api.songkick.com/api/3.0/artists/mbid:280e4d8f-4ed1-43ae-8927-cd040ad58655.json,2019-11-15,,,1158001,http://www.songkick.com/venues/1158001-all-angels-episcopal-church?utm_source=59227&utm_medium=partner,40.78496,-73.97998,All Angels Episcopal Church,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.78496,-73.97998,"New York (NYC), NY, US"
,,,,38949673,http://www.songkick.com/concerts/38949673-mandolin-orange-at-brooklyn-steel?utm_source=59227&utm_medium=partner,Concert,ok,0.011751,"Mandolin Orange with Sunny War at Brooklyn Steel (November 15, 2019)",,false,73784674,headline,Mandolin Orange,1,2589866,http://www.songkick.com/artists/2589866-mandolin-orange?utm_source=59227&utm_medium=partner,Mandolin Orange,4484644c-66be-4e2b-beaf-c5780e9c8e50,http://api.songkick.com/api/3.0/artists/mbid:4484644c-66be-4e2b-beaf-c5780e9c8e50.json,2019-11-15,19:30:00,2019-11-15T19:30:00-0500,3457684,http://www.songkick.com/venues/3457684-brooklyn-steel?utm_source=59227&utm_medium=partner,40.71936,-73.93878,Brooklyn Steel,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.71936,-73.93878,"Brooklyn, NY, US"
,,,,,,,,,,,,73784675,support,Sunny War,2,2506681,http://www.songkick.com/artists/2506681-sunny-war?utm_source=59227&utm_medium=partner,Sunny War,db8451ab-9f03-4668-87c7-1dbb66aa1e6b,http://api.songkick.com/api/3.0/artists/mbid:db8451ab-9f03-4668-87c7-1dbb66aa1e6b.json,,,,,,,,,,,,,,,,
,,,,38950722,http://www.songkick.com/concerts/38950722-billy-strings-at-brooklyn-bowl?utm_source=59227&utm_medium=partner,Concert,ok,8.79E-4,"Billy Strings at Brooklyn Bowl (November 15, 2019)",,false,73786318,headline,Billy Strings,1,6565553,http://www.songkick.com/artists/6565553-billy-strings?utm_source=59227&utm_medium=partner,Billy Strings,640db492-34c4-47df-be14-96e2cd4b9fe4,http://api.songkick.com/api/3.0/artists/mbid:640db492-34c4-47df-be14-96e2cd4b9fe4.json,2019-11-15,20:00:00,2019-11-15T20:00:00-0500,493846,http://www.songkick.com/venues/493846-brooklyn-bowl?utm_source=59227&utm_medium=partner,40.72188,-73.95739,Brooklyn Bowl,7644,http://www.songkick.com/metro_areas/7644-us-new-york-nyc?utm_source=59227&utm_medium=partner,New York (NYC),NY,US,40.72188,-73.95739,"Brooklyn, NY, US"
